H.PERIOD,DD.PERIOD.t,UD.PERIOD.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.5,UD.e.5,H.5,DD.5.SHIFT,UD.5.SHIFT,H.SHIFT,DD.SHIFT.R,UD.SHIFT.R,H.R,DD.R.o,UD.R.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return
109.0,203.0,94.0,94.0,187.0,93.0,94.0,219.0,125.0,109.0,312.0,203.0,78.0,265.0,187.0,296.0,156.0,-140.0,109.0,203.0,94.0,109.0,156.0,47.0,156.0,187.0,31.0,93.0,281.0,188.0,124.0,358.0,234.0
94.0,281.0,187.0,94.0,203.0,109.0,125.0,249.0,124.0,94.0,312.0,218.0,94.0,780.0,686.0,359.0,141.0,-218.0,125.0,327.0,202.0,94.0,188.0,94.0,140.0,171.0,31.0,94.0,281.0,187.0,94.0,281.0,187.0
94.0,219.0,125.0,93.0,203.0,110.0,93.0,280.0,187.0,110.0,468.0,358.0,78.0,219.0,219.0,390.0,280.0,-110.0,110.0,234.0,124.0,94.0,219.0,125.0,109.0,140.0,31.0,78.0,250.0,172.0,93.0,374.0,281.0
110.0,266.0,156.0,62.0,171.0,109.0,109.0,234.0,125.0,109.0,328.0,219.0,93.0,312.0,219.0,327.0,156.0,-171.0,125.0,203.0,78.0,109.0,171.0,62.0,141.0,187.0,46.0,94.0,281.0,187.0,109.0,187.0,375.0
109.0,421.0,312.0,78.0,203.0,125.0,109.0,312.0,203.0,125.0,328.0,203.0,93.0,405.0,312.0,328.0,172.0,-156.0,109.0,359.0,250.0,109.0,296.0,187.0,125.0,203.0,78.0,94.0,406.0,312.0,124.0,499.0,375.0
109.0,343.0,234.0,78.0,249.0,171.0,94.0,359.0,265.0,125.0,328.0,203.0,93.0,359.0,266.0,343.0,202.0,-141.0,125.0,390.0,265.0,110.0,312.0,202.0,110.0,188.0,78.0,109.0,343.0,234.0,93.0,265.0,422.0
94.0,453.0,359.0,93.0,343.0,250.0,109.0,374.0,265.0,141.0,453.0,312.0,109.0,437.0,328.0,405.0,249.0,-156.0,141.0,437.0,296.0,94.0,296.0,202.0,110.0,234.0,124.0,110.0,406.0,296.0,109.0,437.0,328.0
109.0,288.0,406.0,93.0,327.0,234.0,110.0,390.0,280.0,125.0,344.0,219.0,93.0,312.0,219.0,327.0,171.0,-156.0,125.0,359.0,234.0,94.0,328.0,234.0,109.0,218.0,109.0,94.0,296.0,202.0,110.0,453.0,343.0
125.0,359.0,234.0,93.0,249.0,156.0,109.0,328.0,219.0,140.0,421.0,281.0,94.0,343.0,249.0,297.0,156.0,-141.0,109.0,375.0,266.0,93.0,327.0,234.0,109.0,187.0,78.0,110.0,328.0,218.0,109.0,452.0,343.0
94.0,280.5,280.5,109.0,327.0,218.0,110.0,531.0,421.0,109.0,312.0,203.0,93.0,390.0,297.0,296.0,171.0,-125.0,110.0,375.0,265.0,93.0,234.0,141.0,125.0,187.0,62.0,109.0,296.0,187.0,94.0,328.0,234.0
109.0,249.0,249.0,94.0,219.0,125.0,93.0,249.0,156.0,125.0,328.0,203.0,109.0,281.0,172.0,312.0,187.0,-125.0,125.0,156.0,31.0,125.0,249.0,124.0,156.0,249.0,249.0,94.0,515.0,421.0,109.0,483.0,374.0
